Distance,IR,Ultrasonic_Label,IR_Label,Final_Class
10,33,Detected,NO CRACK,OBSTACLE
9,67,Detected,NO CRACK,OBSTACLE
7,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
8,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
10,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
12,46,Detected,NO CRACK,OBSTACLE
13,35,Detected,NO CRACK,OBSTACLE
13,33,Detected,NO CRACK,OBSTACLE
13,33,Detected,NO CRACK,OBSTACLE
14,33,Detected,NO CRACK,OBSTACLE
15,33,Detected,NO CRACK,OBSTACLE
16,37,Detected,NO CRACK,OBSTACLE
16,36,Detected,NO CRACK,OBSTACLE
17,36,Detected,NO CRACK,OBSTACLE
19,53,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
20,33,Detected,NO CRACK,OBSTACLE
20,44,Detected,NO CRACK,OBSTACLE
21,34,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
22,542,Detected,CRACK DETECTED,CRACK+OBSTACLE
24,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
24,232,Detected,NO CRACK,OBSTACLE
24,38,Detected,NO CRACK,OBSTACLE
24,33,Detected,NO CRACK,OBSTACLE
25,34,Detected,NO CRACK,OBSTACLE
26,33,Detected,NO CRACK,OBSTACLE
26,33,Detected,NO CRACK,OBSTACLE
26,34,Detected,NO CRACK,OBSTACLE
27,33,Detected,NO CRACK,OBSTACLE
28,33,Detected,NO CRACK,OBSTACLE
29,33,Detected,NO CRACK,OBSTACLE
30,34,Clear,NO CRACK,NORMAL
29,33,Detected,NO CRACK,OBSTACLE
304,33,Clear,NO CRACK,NORMAL
29,33,Detected,NO CRACK,OBSTACLE
27,33,Detected,NO CRACK,OBSTACLE
27,33,Detected,NO CRACK,OBSTACLE
26,34,Detected,NO CRACK,OBSTACLE
26,56,Detected,NO CRACK,OBSTACLE
26,487,Detected,NO CRACK,OBSTACLE
26,34,Detected,NO CRACK,OBSTACLE
27,37,Detected,NO CRACK,OBSTACLE
25,34,Detected,NO CRACK,OBSTACLE
24,33,Detected,NO CRACK,OBSTACLE
126,33,Clear,NO CRACK,NORMAL
26,33,Detected,NO CRACK,OBSTACLE
25,33,Detected,NO CRACK,OBSTACLE
26,33,Detected,NO CRACK,OBSTACLE
27,33,Detected,NO CRACK,OBSTACLE
0,33,Detected,NO CRACK,OBSTACLE
22,33,Detected,NO CRACK,OBSTACLE
23,33,Detected,NO CRACK,OBSTACLE
23,33,Detected,NO CRACK,OBSTACLE
22,33,Detected,NO CRACK,OBSTACLE
22,33,Detected,NO CRACK,OBSTACLE
22,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
23,33,Detected,NO CRACK,OBSTACLE
0,33,Detected,NO CRACK,OBSTACLE
18,33,Detected,NO CRACK,OBSTACLE
22,33,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
23,33,Detected,NO CRACK,OBSTACLE
24,33,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
20,33,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
0,33,Detected,NO CRACK,OBSTACLE
20,33,Detected,NO CRACK,OBSTACLE
20,33,Detected,NO CRACK,OBSTACLE
20,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
306,1017,Clear,CRACK DETECTED,CRACK
19,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
20,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
19,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
116,1017,Clear,CRACK DETECTED,CRACK
18,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
13,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
11,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
166,1017,Clear,CRACK DETECTED,CRACK
227,1017,Clear,CRACK DETECTED,CRACK
229,33,Clear,NO CRACK,NORMAL
178,33,Clear,NO CRACK,NORMAL
233,1017,Clear,CRACK DETECTED,CRACK
14,33,Detected,NO CRACK,OBSTACLE
16,33,Detected,NO CRACK,OBSTACLE
16,33,Detected,NO CRACK,OBSTACLE
14,33,Detected,NO CRACK,OBSTACLE
17,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
300,33,Clear,NO CRACK,NORMAL
21,33,Detected,NO CRACK,OBSTACLE
14,33,Detected,NO CRACK,OBSTACLE
13,33,Detected,NO CRACK,OBSTACLE
14,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
14,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
0,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
10,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
15,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
301,1016,Clear,CRACK DETECTED,CRACK
298,1016,Clear,CRACK DETECTED,CRACK
297,1016,Clear,CRACK DETECTED,CRACK
292,1016,Clear,CRACK DETECTED,CRACK
21,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
16,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
177,1017,Clear,CRACK DETECTED,CRACK
231,1017,Clear,CRACK DETECTED,CRACK
19,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
16,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
21,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
25,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
301,33,Clear,NO CRACK,NORMAL
233,33,Clear,NO CRACK,NORMAL
23,33,Detected,NO CRACK,OBSTACLE
26,34,Detected,NO CRACK,OBSTACLE
21,264,Detected,NO CRACK,OBSTACLE
299,37,Clear,NO CRACK,NORMAL
16,33,Detected,NO CRACK,OBSTACLE
13,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
300,1017,Clear,CRACK DETECTED,CRACK
301,330,Clear,NO CRACK,NORMAL
10,177,Detected,NO CRACK,OBSTACLE
15,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
38,543,Clear,CRACK DETECTED,CRACK
231,235,Clear,NO CRACK,NORMAL
218,1017,Clear,CRACK DETECTED,CRACK
230,1017,Clear,CRACK DETECTED,CRACK
231,1017,Clear,CRACK DETECTED,CRACK
230,1017,Clear,CRACK DETECTED,CRACK
175,1017,Clear,CRACK DETECTED,CRACK
176,1017,Clear,CRACK DETECTED,CRACK
174,1017,Clear,CRACK DETECTED,CRACK
174,1017,Clear,CRACK DETECTED,CRACK
174,33,Clear,NO CRACK,NORMAL
43,1017,Clear,CRACK DETECTED,CRACK
41,185,Clear,NO CRACK,NORMAL
40,1017,Clear,CRACK DETECTED,CRACK
39,33,Clear,NO CRACK,NORMAL
40,1017,Clear,CRACK DETECTED,CRACK
37,33,Clear,NO CRACK,NORMAL
46,41,Clear,NO CRACK,NORMAL
46,675,Clear,CRACK DETECTED,CRACK
48,259,Clear,NO CRACK,NORMAL
220,37,Clear,NO CRACK,NORMAL
219,1017,Clear,CRACK DETECTED,CRACK
53,1017,Clear,CRACK DETECTED,CRACK
50,1017,Clear,CRACK DETECTED,CRACK
51,625,Clear,CRACK DETECTED,CRACK
53,1017,Clear,CRACK DETECTED,CRACK
53,1017,Clear,CRACK DETECTED,CRACK
219,33,Clear,NO CRACK,NORMAL
48,1017,Clear,CRACK DETECTED,CRACK
49,40,Clear,NO CRACK,NORMAL
53,1017,Clear,CRACK DETECTED,CRACK
52,1016,Clear,CRACK DETECTED,CRACK
51,32,Clear,NO CRACK,NORMAL
50,420,Clear,NO CRACK,NORMAL
49,45,Clear,NO CRACK,NORMAL
0,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
45,34,Clear,NO CRACK,NORMAL
176,1018,Clear,CRACK DETECTED,CRACK
174,1017,Clear,CRACK DETECTED,CRACK
173,1017,Clear,CRACK DETECTED,CRACK
174,1017,Clear,CRACK DETECTED,CRACK
174,1018,Clear,CRACK DETECTED,CRACK
173,1018,Clear,CRACK DETECTED,CRACK
172,1017,Clear,CRACK DETECTED,CRACK
173,1017,Clear,CRACK DETECTED,CRACK
172,1018,Clear,CRACK DETECTED,CRACK
42,1017,Clear,CRACK DETECTED,CRACK
178,1017,Clear,CRACK DETECTED,CRACK
54,1017,Clear,CRACK DETECTED,CRACK
51,1017,Clear,CRACK DETECTED,CRACK
172,33,Clear,NO CRACK,NORMAL
173,33,Clear,NO CRACK,NORMAL
48,32,Clear,NO CRACK,NORMAL
47,34,Clear,NO CRACK,NORMAL
48,37,Clear,NO CRACK,NORMAL
49,43,Clear,NO CRACK,NORMAL
48,42,Clear,NO CRACK,NORMAL
56,49,Clear,NO CRACK,NORMAL
52,47,Clear,NO CRACK,NORMAL
177,38,Clear,NO CRACK,NORMAL
0,40,Detected,NO CRACK,OBSTACLE
51,39,Clear,NO CRACK,NORMAL
50,33,Clear,NO CRACK,NORMAL
49,33,Clear,NO CRACK,NORMAL
48,33,Clear,NO CRACK,NORMAL
49,34,Clear,NO CRACK,NORMAL
47,33,Clear,NO CRACK,NORMAL
48,33,Clear,NO CRACK,NORMAL
48,33,Clear,NO CRACK,NORMAL
49,33,Clear,NO CRACK,NORMAL
50,34,Clear,NO CRACK,NORMAL
50,33,Clear,NO CRACK,NORMAL
